<<<<<<< HEAD
﻿id,región,distrito,nombre,pres,pres2,vp1,vp2,vp3,mesa1,mesa2,mesa3,comisiones1,presos1,presos2,protocolo_covid,covid_pcr,nbásicas,reg_cs,reg_vpc,reg_ms+ldp,reg_cd,reg_fa,reg_ms+ldp(b),reg_vpc(b),reg_inn(b),reg_vpc(c1),reg_vpc(c2),reg_ms+ldp(iv),reg_cd(iv),reg_mesa(c),pres_fa,et_fa,et_cd,et_cs,ce_fa,ce_ms+ldp,ce_vpc,ce_cs,ce_mesa,ce_fa(5),ce_ms+ldp(iii),ce_cs(iii),co_ddhh,co_cit,co_pc,co_pycppoo,co_des,co_pst,co_pcdlp,co_pla,co_bv,co_dl,co_ms18o,co_brnbm,co_pvyt
22;Arica;1;Carolina Eliana Videla Osorio;Godoy;Loncon;Bassa;Bassa;Bassa;na;na;na;na;opci�n uno;opci�n uno;a favor;a favor;a favor;en contra ;en contra;a favor;a favor;en contra;a favor;en contra;en contra;en contra ;en contra ;a favor ;a favor ;en contra;en contra ;en contra ;a favor ;a favor ;en contra ;en contra ;en contra ;a favor ;en contra ;.;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;a favor;en contra ;en contra;abstencion;abstencion;abstencion;a favor;en contra;;a favor;a favor;a favor;a favor;a favor;a favor;en contra;a favor;en contra;a favor;en contra;a favor;en contra;en contra;en contra
39;Tarapac�;2;Alejandra Alicia Flores Carlos;Loncon;Loncon;Dorador;Rojas;Rojas;na;na;na;na;opci�n dos;opci�n uno;a favor;.;a favor;en contra ;en contra;a favor;a favor;en contra;a favor;en contra;en contra;en contra ;en contra ;a favor ;a favor ;en contra;en contra ;en contra ;a favor ;a favor ;en contra ;a favor ;en contra ;a favor ;a favor ;en contra ;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;abstencion ;en contra ;a favor ;en contra ;a favor ;en contra ;a favor;en contra;en contra;a favor;a favor;a favor;a favor;a favor;a favor;en contra;a favor;en contra;a favor;abstencion;a favor;en contra;a favor;en contra
59;Tarapac�;2;Alvaro Jofre Caceres;Jurgensen;Jurgensen;Rivera B.;Rivera B.;Rivera B.;na;na;na;na;en contra;en contra;a favor;en contra;a favor;en contra ;a favor;en contra;en contra;abstenci�n;en contra;a favor;a favor;a favor;a favor;en contra ;en contra ;abstencion;en contra ;abstencion ;en contra ;a favor ;en contra ;en contra ;a favor ;a favor ;en contra ;.;en contra ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;en contra ;abstencion;en contra;en contra ;en contra ;en contra ;abstencion;a favor ;a favor;en contra;a favor;en contra;a favor;abstencion;en contra;a favor;en contra;a favor;abstencion;abstencion;abstencion;a favor;a favor;a favor
73;Tarapac�;2;Hugo Humberto Gutierrez Galvez;Godoy;Loncon;Bassa;Bassa;Bassa;na;na;na;na;opci�n uno;opci�n uno;a favor;a favor;a favor;en contra ;en contra;a favor;a favor;.;a favor;.;en contra;en contra ;en contra ;a favor ;a favor ;en contra;en contra ;en contra ;a favor ;a favor ;en contra ;en contra ;en contra ;a favor ;en contra ;a favor ;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;a favor;abstencion;en contra;abstencion;abstencion;en contra ;a favor;en contra;en contra;a favor;a favor;a favor;a favor;a favor;a favor;en contra;a favor;en contra;a favor;en contra;a favor;en contra;en contra;en contra
89;Antofagasta;3;Pablo Antonio Toloza Fernandez;Jurgensen;Jurgensen;Rivera B.;Rivera B.;Rivera B.;na;na;na;na;en contra;en contra;a favor;en contra;a favor;en contra ;a favor;en contra;en contra;abstenci�n;en contra;a favor;a favor;a favor;a favor;en contra ;en contra ;abstencion;en contra ;a favor ;en contra ;a favor ;en contra ;en contra ;a favor ;a favor ;en contra ;.;en contra ;en contra ;a favor;a favor ;a favor ;a favor;a favor ;en contra ;en contra ;abstencion;en contra ;en contra ;en contra ;en contra ;a favor ;a favor;en contra;a favor;en contra;a favor;en contra;en contra;a favor;en contra;a favor;en contra;abstencion;abstencion;a favor;a favor;a favor
99;Antofagasta;3;Hernan Jesus Velasquez Nu�ez;Dorador;Loncon;Garin;Bassa;Bassa;na;na;na;na;opci�n uno;opci�n uno;a favor;a favor;a favor;en contra ;en contra;a favor;a favor;en contra;a favor;en contra;en contra;en contra ;en contra ;a favor ;a favor ;en contra;en contra ;en contra ;a favor ;a favor ;en contra ;a favor ;en contra ;a favor ;en contra ;a favor ;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;a favor;en contra ;en contra;a favor ;a favor ;en contra ;a favor;en contra;en contra;a favor;a favor;a favor;a favor;a favor;a favor;en contra;a favor;en contra;a favor;en contra;a favor;en contra;a favor;en contra
104;Antofagasta;3;Dayyana Gonzalez Araya;Godoy;Loncon;Rojas;Rojas;Rojas;na;na;na;na;opci�n dos;opci�n uno;a favor;a favor;a favor;en contra ;en contra;a favor;a favor;en contra;a favor;en contra;en contra;en contra ;en contra ;a favor ;a favor ;en contra;en contra ;en contra ;a favor ;a favor ;en contra ;a favor ;en contra ;a favor ;a favor ;en contra ;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;a favor;.;en contra;.;en contra ;en contra ;en contra ;en contra;en contra;a favor;a favor;a favor;a favor;a favor;a favor;en contra;en contra;en contra;a favor;a favor;a favor;en contra;a favor;en contra
115;Antofagasta;3;Cristina Ines Dorador Ortiz;Bravo;Loncon;Dorador;Rojas;Bassa;na;na;na;na;opci�n uno;opci�n uno;a favor;a favor;a favor;en contra ;en contra;a favor;a favor;en contra;a favor;en contra;a favor;en contra ;en contra ;a favor ;a favor ;en contra;en contra ;a favor ;a favor ;a favor ;en contra ;a favor ;en contra ;a favor ;a favor ;en contra ;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;a favor;abstencion;a favor ;abstencion;a favor ;en contra ;a favor;en contra;en contra;a favor;a favor;a favor;a favor;a favor;a favor;a favor;a favor;en contra;a favor;a favor;a favor;en contra;a favor;en contra
124;Atacama;4;Constanza Andrea San Juan Standen;Loncon;Loncon;Dorador;Rojas;Rojas;na;na;na;na;opci�n uno;opci�n uno;a favor;en contra;a favor;en contra ;en contra;a favor;a favor;en contra;a favor;en contra;en contra;en contra ;en contra ;a favor ;a favor;en contra;en contra ;en contra ;a favor ;a favor ;en contra ;a favor ;en contra ;a favor ;a favor ;a favor ;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;a favor;en contra ;en contra;en contra ;abstencion;en contra ;abstencion;en contra;en contra;a favor;a favor;a favor;a favor;a favor;a favor;abstencion;a favor;en contra;a favor;a favor;a favor;en contra;a favor;en contra
138;Atacama;4;Maximiliano Hurtado Roco;Loncon;Loncon;Bassa;Bassa;Bassa;na;na;na;na;opci�n uno;opci�n uno;a favor;a favor;a favor;a favor ;en contra;en contra;en contra;a favor;a favor;abstensi�n;a favor;en contra ;en contra ;en contra ;en contra ;en contra;en contra ;a favor ;a favor ;a favor ;en contra ;a favor ;en contra ;a favor ;a favor ;en contra ;en contra ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;abstencion ;abstencion;en contra;abstencion;abstencion;en contra ;abstencion;en contra;a favor;en contra;en contra;a favor;a favor;abstencion;en contra;a favor;en contra;en contra;a favor;a favor;a favor;en contra;a favor;a favor
143;Atacama;4;Ericka Portilla Barrios;Godoy;Loncon;Bassa;Bassa;Bassa;na;na;na;na;opci�n uno;opci�n uno;a favor;a favor;a favor;en contra ;en contra;a favor;a favor;en contra;a favor;en contra;en contra;en contra ;en contra ;a favor ;a favor;en contra;en contra ;en contra ;a favor ;a favor ;en contra ;en contra ;en contra ;a favor ;en contra ;en contra ;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;a favor;a favor ;en contra;abstencion;abstencion;abstencion;abstencion;en contra;en contra;a favor;a favor;a favor;a favor;a favor;abstencion;en contra;a favor;en contra;a favor;en contra;a favor;en contra;en contra;en contra
147;Atacama;4;Guillermo Nicolas Namor Kong;Politzer;Politzer;Dominguez;Bassa;Bassa;na;na;na;na;opci�n uno;opci�n uno;a favor;a favor;a favor;en contra ;en contra;a favor;en contra;en contra;en contra;a favor;a favor;a favor;en contra ;a favor ;a favor;abstencion;en contra ;a favor ;a favor ;a favor ;en contra ;a favor ;en contra ;a favor ;a favor ;en contra ;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;a favor;en contra ;a favor ;abstencion;abstencion;en contra ;abstencion;en contra;a favor;a favor;a favor;abstencion;a favor;a favor;abstencion;a favor;abstencion;en contra;abstencion;a favor;a favor;en contra;a favor;a favor
153;Coquimbo;5;Maria Trinidad Castillo Boilet;Politzer;Politzer;Atria;Bassa;Bassa;na;na;na;na;opci�n uno;opci�n uno;a favor;a favor;a favor;en contra ;en contra;en contra;en contra;a favor;a favor;en contra;a favor;en contra ;en contra ;en contra ;en contra ;en contra;en contra ;a favor ;a favor ;a favor ;en contra ;a favor ;en contra ;a favor ;a favor ;en contra ;en contra ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;abstencion ;en contra ;en contra;en contra ;en contra ;en contra ;abstencion;en contra;a favor;en contra;en contra;abstencion;a favor;a favor;en contra;a favor;en contra;en contra;;a favor;a favor;en contra;a favor;a favor
160;Coquimbo;5;Ivanna Daniela Olivares Miranda;Godoy;Loncon;Rojas;Rojas;Rojas;na;na;na;na;opci�n dos;opci�n uno;a favor;en contra;a favor;en contra ;en contra;a favor;a favor;en contra;a favor;en contra;en contra;en contra ;en contra ;a favor ;a favor;en contra;en contra ;en contra ;a favor ;a favor ;en contra ;.;en contra ;a favor ;a favor ;en contra ;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;a favor;abstencion;a favor ;abstencion;a favor ;en contra ;a favor;en contra;en contra;a favor;a favor;a favor;a favor;a favor;a favor;en contra;en contra;en contra;a favor;a favor;a favor;en contra;a favor;en contra
161;Coquimbo;5;Daniel Alejandro Bravo Silva;Dorador;Loncon;Dorador;Rojas;.;na;na;na;na;opci�n dos;opci�n uno;a favor;a favor;a favor;en contra ;en contra;a favor;a favor;en contra;a favor;en contra;en contra;en contra ;en contra ;a favor ;a favor ;en contra;en contra ;en contra ;a favor ;a favor ;en contra ;a favor ;en contra ;a favor ;a favor ;en contra ;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;a favor;en contra ;en contra;en contra ;en contra ;en contra ;en contra ;en contra;en contra;a favor;a favor;a favor;a favor;a favor;a favor;en contra;a favor;en contra;a favor;a favor;a favor;en contra;a favor;en contra
180;Coquimbo;5;Roberto Vega Campusano;Jurgensen;Politzer;Rivera B.;Rivera B.;Rivera B.;na;na;na;na;en contra;en contra;a favor;en contra;a favor;en contra ;a favor;en contra;en contra;en contra;en contra;a favor;a favor;a favor;a favor;en contra ;en contra ;a favor ;en contra ;a favor ;en contra ;a favor ;en contra ;en contra ;a favor ;a favor ;en contra ;en contra ;en contra ;en contra ;a favor;a favor ;a favor ;abstencion;a favor ;abstencion ;abstencion;a favor ;en contra ;abstencion;abstencion;a favor;a favor ;a favor;en contra;abstencion;abstencion;a favor;en contra;en contra;a favor;en contra;a favor;en contra;en contra;abstencion;a favor;a favor;a favor
185;Coquimbo;5;Carlos Calvo Mu�oz;Loncon;Loncon;Bassa;Bassa;Bassa;na;na;na;na;opci�n uno;opci�n uno;a favor;a favor;a favor;a favor ;en contra;en contra;en contra;a favor;a favor;en contra;a favor;en contra ;en contra ;a favor ;en contra ;en contra;en contra ;a favor ;a favor ;a favor ;en contra ;a favor ;en contra ;a favor ;a favor ;en contra ;en contra ;a favor ;.;.;.;.;.;.;.;.;.;.;.;.;.;a favor;a favor;en contra;a favor;a favor;a favor;en contra;a favor;en contra;en contra;a favor;a favor;a favor;en contra;a favor;a favor
189;Coquimbo;5;Jeniffer Valeria Mella Escobar;Loncon;Loncon;Bassa;Bassa;Bassa;na;na;na;na;opci�n uno;opci�n uno;a favor;a favor;a favor;a favor ;en contra;en contra;en contra;a favor;a favor;en contra;a favor;en contra ;en contra ;a favor ;en contra ;a favor ;a favor ;a favor ;a favor ;a favor ;a favor ;en contra ;en contra ;a favor ;a favor ;a favor ;abstencion;a favor ;a favor;a favor ;a favor ;a favor;a favor ;abstencion ;abstencion;abstencion;abstencion;abstencion;en contra ;abstencion;en contra;a favor;a favor;a favor;a favor;a favor;a favor;en contra;a favor;en contra;en contra;en contra;a favor;a favor;en contra;a favor;abstencion
195;Valpara�so;6;Lisette Lorena Vergara Riquelme;Godoy;Loncon;Rojas;Rojas;Rojas;na;na;na;na;opci�n dos;opci�n uno;a favor;.;a favor;en contra ;en contra;a favor;a favor;en contra;a favor;.;en contra;en contra ;en contra ;a favor ;.;en contra;en contra ;en contra ;a favor ;a favor ;en contra ;a favor ;en contra ;a favor ;a favor ;abstencion;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;a favor;abstencion;a favor ;abstencion;abstencion;abstencion;a favor;en contra;en contra;a favor;a favor;a favor;a favor;a favor;a favor;a favor;abstencion;en contra;a favor;a favor;a favor;en contra;a favor;en contra
196;Valpara�so;6;Cristobal Patricio Andrade Leon;Godoy;Loncon;Rojas;Rojas;Rojas;na;na;na;na;opci�n dos;opci�n uno;a favor;en contra;a favor;en contra ;en contra;a favor;a favor;en contra;a favor;en contra;en contra;en contra ;en contra ;a favor ;a favor ;en contra;en contra ;en contra ;a favor ;a favor ;en contra ;a favor ;en contra ;a favor ;a favor ;en contra ;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;a favor;en contra ;en contra;en contra ;en contra ;en contra ;a favor;en contra;en contra;a favor;a favor;a favor;a favor;a favor;a favor;en contra;a favor;en contra;a favor;a favor;a favor;en contra;a favor;en contra
207;Valpara�so;6;Ruggero Cozzi Elzo;Jurgensen;Jurgensen;Rivera B.;Rivera B.;Rivera B.;na;na;na;na;.;.;a favor;en contra;a favor;en contra ;a favor;en contra;en contra;abstenci�n;en contra;a favor;a favor;a favor;a favor;en contra ;en contra ;a favor ;en contra ;a favor ;en contra ;a favor ;en contra ;abstencion ;a favor ;a favor ;en contra ;en contra ;en contra ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;abstencion ;abstencion;a favor ;abstencion;abstencion;a favor ;abstencion;a favor ;a favor;en contra;a favor;en contra;a favor;en contra;en contra;a favor;en contra;a favor;en contra;abstencion;abstencion;;a favor;a favor
220;Valpara�so;6;Claudio Gomez Castro;Loncon;Loncon;Bassa;Bassa;Bassa;na;na;na;na;opci�n uno;opci�n uno;.;.;a favor;a favor ;en contra;en contra;en contra;a favor;a favor;en contra;a favor;en contra ;en contra ;a favor ;en contra ;a favor ;.;a favor ;a favor ;a favor ;.;a favor ;en contra ;a favor ;a favor ;.;en contra ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;abstencion ;abstencion;a favor ;abstencion;abstencion;en contra ;abstencion;en contra;a favor;a favor;en contra;a favor;a favor;a favor;en contra;a favor;en contra;en contra;a favor;a favor;a favor;en contra;a favor;a favor
230;Valpara�so;6;Janis Jan Del Carmen Meneses Palma;Loncon;Loncon;Rojas;Rojas;Bassa;na;na;na;na;opci�n dos;opci�n uno;a favor;a favor;a favor;en contra ;en contra;a favor;a favor;en contra;a favor;en contra;a favor;en contra ;en contra ;a favor ;a favor ;en contra;en contra ;en contra ;a favor ;a favor ;en contra ;a favor ;en contra ;a favor ;a favor ;a favor ;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;a favor;en contra ;en contra;en contra ;en contra ;en contra ;en contra ;en contra;en contra;a favor;a favor;a favor;a favor;a favor;a favor;en contra;a favor;en contra;a favor;a favor;a favor;en contra;a favor;en contra
232;Valpara�so;6;Carolina Cyntia Vilches Fuenzalida;Loncon;Loncon;Dorador;Rojas;Bassa;na;na;na;na;opci�n uno;opci�n uno;a favor;a favor;a favor;a favor ;en contra;a favor;a favor;en contra;a favor;en contra;a favor;en contra ;en contra ;a favor ;a favor ;en contra;.;a favor ;a favor ;a favor ;.;a favor ;en contra ;a favor ;a favor ;abstencion;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;a favor;abstencion;en contra;a favor ;a favor ;en contra ;a favor;en contra;en contra;a favor;a favor;a favor;a favor;a favor;a favor;a favor;a favor;en contra;a favor;a favor;a favor;en contra;a favor;en contra
234;Valpara�so;6;Mariela Andrea Serey Jimenez;Loncon;Loncon;Bassa;Bassa;Bassa;na;na;na;na;opci�n uno;opci�n uno;a favor;a favor;a favor;a favor ;en contra;en contra;en contra;a favor;a favor;en contra;a favor;a favor;en contra ;a favor ;en contra ;a favor ;a favor ;a favor ;a favor ;a favor ;a favor ;a favor ;en contra ;a favor ;a favor ;a favor ;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;abstencion ;abstencion;abstencion;abstencion;abstencion;en contra ;abstencion;en contra;en contra;a favor;a favor;a favor;a favor;a favor;a favor;a favor;en contra;en contra;a favor;a favor;a favor;en contra;a favor;en contra
258;Valpara�so;6;Miguel Angel Botto Salinas;Politzer;Politzer;Bassa;Bassa;Bassa;na;na;na;na;abstenci�n;abstenci�n;a favor;en contra;a favor;en contra ;en contra;a favor;en contra;en contra;en contra;a favor;a favor;en contra ;en contra ;a favor ;en contra ;abstencion;en contra ;a favor ;a favor ;a favor ;en contra ;a favor ;en contra ;a favor ;a favor ;en contra ;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;abstencion ;abstencion;a favor ;abstencion;.;.;.;.;a favor;en contra;a favor;a favor;a favor;en contra;en contra;a favor;abstencion;abstencion;abstencion;a favor;a favor;en contra;;a favor
276;Valpara�so;7;Raul Celis Montt;Jurgensen;Jurgensen;Rivera B.;Rivera B.;Rivera B.;na;na;na;na;.;.;.;.;a favor;en contra ;a favor;en contra;en contra;abstenci�n;en contra;a favor;a favor;a favor;a favor;en contra ;en contra ;en contra;en contra ;abstencion ;en contra ;a favor ;en contra ;en contra ;a favor ;a favor ;en contra ;en contra ;en contra ;en contra ;a favor;a favor ;a favor ;a favor;a favor ;en contra ;en contra ;en contra;en contra ;en contra ;en contra ;en contra ;a favor ;a favor;en contra;a favor;en contra;a favor;en contra;en contra;a favor;en contra;a favor;abstencion;en contra;abstencion;a favor;a favor;a favor
280;Valpara�so;7;Jorge Arancibia Reyes;Jurgensen;Jurgensen;Rivera B.;Rivera B.;Rivera B.;na;na;na;na;en contra;en contra;a favor;en contra;a favor;en contra ;a favor;en contra;en contra;abstenci�n;en contra;a favor;a favor;a favor;a favor;en contra ;en contra ;abstencion;en contra ;a favor ;en contra ;a favor ;en contra ;en contra ;a favor ;a favor ;en contra ;.;en contra ;en contra ;a favor;a favor ;a favor ;en contra ;a favor ;en contra ;en contra ;en contra;en contra ;en contra ;en contra ;en contra ;a favor ;a favor;en contra;en contra;en contra;a favor;en contra;en contra;a favor;en contra;a favor;en contra;abstencion;abstencion;a favor;a favor;a favor
288;Valpara�so;7;Agustin Squella Narducci;Politzer;Loncon;Bassa;Bassa;Bassa;na;na;na;na;abstenci�n;abstenci�n;a favor;a favor;a favor;en contra ;en contra;a favor;en contra;abstenci�n;abstenci�n;a favor;a favor;a favor;en contra ;en contra ;en contra ;a favor ;en contra ;abstencion ;en contra ;en contra ;en contra ;a favor ;abstencion;en contra ; ;.;.;.;abstencion ;a favor ;a favor ;a favor;abstencion ;a favor;abstencion;en contra;abstencion;abstencion;abstencion;abstencion;abstencion;a favor;en contra;abstencion;en contra;a favor;a favor;en contra;a favor;en contra;en contra;abstencion;abstencion;abstencion;abstencion;a favor;a favor
299;Valpara�so;7;Jaime Andres Bassa Mercado;Loncon;Loncon;Bassa;Bassa;Bassa;na;na;na;na;opci�n uno;opci�n uno;a favor;a favor;a favor;a favor ;en contra;en contra;en contra;a favor;a favor;en contra;a favor;en contra ;en contra ;a favor ;en contra ;a favor ;abstencion ;abstencion ;a favor ;a favor ;abstencion ;a favor ;en contra ;a favor ;a favor ;a favor ;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;abstencion ;abstencion;abstencion;abstencion;abstencion;en contra ;abstencion;en contra;en contra;a favor;a favor;a favor;a favor;a favor;en contra;a favor;en contra;en contra;a favor;a favor;a favor;en contra;a favor;en contra
302;Valpara�so;7;Maria Jose Oyarzun Solis;Loncon;Loncon;Bassa;Bassa;Bassa;na;na;na;na;opci�n uno;opci�n uno;a favor;a favor;a favor;a favor ;en contra;en contra;en contra;a favor;a favor;en contra;a favor;abstencion;en contra ;a favor ;en contra ;a favor ;a favor ;a favor ;a favor ;a favor ;a favor ;en contra ;en contra ;a favor ;en contra ;a favor ;abstencion;a favor ;a favor;a favor ;a favor ;a favor;a favor ;abstencion ;abstencion;abstencion;abstencion;abstencion;en contra ;abstencion;en contra;en contra;a favor;a favor;a favor;a favor;a favor;en contra;a favor;en contra;en contra;a favor;a favor;a favor;en contra;a favor;en contra
328;Valpara�so;7;Camila Ignacia Zarate Zarate;Loncon;Loncon;Rojas;Rojas;Rojas;na;na;na;na;opci�n uno;opci�n uno;a favor;a favor;a favor;a favor ;en contra;a favor;a favor;en contra;a favor;en contra;en contra;en contra ;en contra ;a favor ;a favor ;en contra;en contra ;en contra ;a favor ;a favor ;en contra ;a favor ;en contra ;a favor ;a favor ;.;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;abstencion ;en contra ;en contra;en contra ;en contra ;en contra ;en contra ;en contra;en contra;a favor;a favor;a favor;a favor;a favor;a favor;en contra;a favor;en contra;a favor;a favor;a favor;en contra;a favor;abstencion
330;Valpara�so;7;Tania Isabel Madriaga Flores;Godoy;Loncon;Rojas;Rojas;Rojas;na;na;na;na;opci�n dos;opci�n uno;a favor;en contra;a favor;en contra ;en contra;a favor;a favor;en contra;a favor;en contra;en contra;en contra ;en contra ;a favor ;a favor ;en contra;en contra ;en contra ;a favor ;a favor ;en contra ;a favor ;en contra ;a favor ;a favor ;en contra ;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;a favor;en contra ;en contra;a favor ;a favor ;en contra ;a favor;en contra;en contra;a favor;a favor;a favor;a favor;a favor;a favor;en contra;a favor;en contra;a favor;a favor;a favor;en contra;a favor;en contra
359;Metropolitana;8;Bernardo De La Maza Ba�ados;Squella;Politzer;Rivera B.;Rivera B.;Bassa;na;na;na;na;en contra;en contra;a favor;abstencion;a favor;en contra ;a favor;en contra;en contra;en contra;en contra;a favor;a favor;a favor;a favor;en contra ;en contra ;abstencion;en contra ;a favor ;en contra ;a favor ;en contra ; ;a favor ;a favor ;.;.;en contra ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;en contra ;en contra ;en contra;en contra ;en contra ;.;abstencion;.;a favor;en contra;a favor;abstencion;a favor;abstencion;a favor;a favor;en contra;abstencion;a favor;abstencion;abstencion;a favor;a favor;a favor
360;Metropolitana;8;Bessy Mireya Del Rosario Gallardo Prado;Politzer;Loncon;Logan;Bassa;Bassa;na;na;na;na;opci�n uno;opci�n uno;a favor;a favor;a favor;en contra ;en contra;a favor;en contra;en contra;en contra;abtensi�n;a favor;abstencion;en contra ;a favor ;en contra ;en contra;en contra ;a favor ;a favor ;a favor ;en contra ;a favor ;en contra ;a favor ;a favor ;abstencion;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;abstencion ;abstencion;abstencion;abstencion;abstencion;en contra ;abstencion;en contra;a favor;en contra;en contra;a favor;a favor;abstencion;abstencion;a favor;en contra;en contra;abstencion;a favor;a favor;en contra;a favor;a favor
369;Metropolitana;8;Valentina Andrea Miranda Arce;Godoy;Loncon;Bassa;Bassa;Bassa;na;na;na;na;opci�n uno;opci�n uno;a favor;a favor;a favor;en contra ;en contra;a favor;a favor;en contra;a favor;en contra;en contra;en contra ;en contra ;a favor ;a favor;en contra;en contra ;en contra ;a favor ;a favor ;en contra ;en contra ;en contra ;a favor ;en contra ;a favor ;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;a favor;en contra ;en contra;a favor ;a favor ;en contra ;a favor;en contra;en contra;a favor;a favor;a favor;a favor;a favor;a favor;en contra;a favor;en contra;a favor;a favor;a favor;en contra;en contra;en contra
373;Metropolitana;8;Tatiana Karina Urrutia Herrera;Loncon;Loncon;Bassa;Bassa;Bassa;na;na;na;na;opci�n uno;opci�n uno;a favor;a favor;a favor;a favor ;en contra;en contra;en contra;a favor;a favor;en contra;a favor;en contra ;en contra ;a favor ;en contra ;a favor ;a favor ;a favor ;a favor ;a favor ;a favor ;a favor ;en contra ;a favor ;a favor ;a favor ;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;abstencion ;abstencion;abstencion;abstencion;abstencion;en contra ;abstencion;en contra;en contra;a favor;a favor;a favor;a favor;a favor;en contra;a favor;en contra;en contra;a favor;a favor;a favor;en contra;a favor;en contra
374;Metropolitana;8;Daniel Rodrigo Stingo Camus;Loncon;Loncon;Bassa;Bassa;Bassa;na;na;na;na;opci�n uno;opci�n uno;a favor;a favor;a favor;en contra ;en contra;en contra;en contra;a favor;a favor;en contra;a favor;a favor;en contra ;a favor ;en contra ;a favor ;a favor ;a favor ;a favor ;a favor ;a favor ;a favor ;en contra ;a favor ;a favor ;a favor ;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;abstencion ;abstencion;abstencion;abstencion;abstencion;en contra ;abstencion;en contra;en contra;a favor;a favor;a favor;a favor;a favor;en contra;a favor;en contra;en contra;a favor;a favor;a favor;en contra;a favor;en contra
388;Metropolitana;8;Maria Magdalena Rivera Iribarren;Godoy;.;Rojas;Rojas;Rojas;na;na;na;na;abstenci�n;abstenci�n;a favor;a favor;.;en contra ;en contra;a favor;a favor;en contra;a favor;en contra;abstencion;en contra ;en contra ;a favor ;a favor;en contra;en contra ;en contra ;a favor ;a favor ;en contra ;a favor ;en contra ;a favor ;a favor ;en contra ;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;abstencion ;en contra ;abstencion;abstencion;abstencion;en contra ;abstencion;en contra;en contra;a favor;a favor;a favor;a favor;a favor;a favor;en contra;en contra;en contra;a favor;a favor;abstencion;en contra;a favor;en contra
389;Metropolitana;8;Marco Antonio Arellano Ortega;Godoy;Loncon;Rojas;Rojas;Rojas;na;na;na;na;opci�n dos;opci�n uno;a favor;a favor;a favor;en contra ;en contra;a favor;a favor;en contra;a favor;en contra;en contra;en contra ;en contra ;a favor ;a favor ;en contra;en contra ;en contra ;a favor ;a favor ;en contra ;a favor ;en contra ;a favor ;a favor ;en contra ;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;a favor;abstencion;en contra;a favor ;a favor ;en contra ;a favor;en contra;en contra;a favor;a favor;a favor;a favor;a favor;a favor;en contra;en contra;en contra;a favor;en contra;abstencion;en contra;a favor;en contra
402;Metropolitana;9;Alejandra Pia Perez Espina;Godoy;Loncon;Rojas;Rojas;Rojas;na;na;na;na;opci�n dos;opci�n uno;a favor;en contra;a favor;en contra ;en contra;a favor;a favor;en contra;a favor;en contra;a favor;en contra ;en contra ;a favor ;a favor;en contra;en contra ;en contra ;a favor ;a favor ;en contra ;a favor ;en contra ;a favor ;a favor ;en contra ;a favor ;a favor ;a favor;a favor ;a favor ;a favor;a favor ;a favor;en contra ;en contra;a favor ;a favor ;en contra ;a favor;en contra;en contra;a favor;a favor;a favor;a favor;a favor;a favor;en contra;a favor;en contra;a favor;a favor;a favor;en contra;a favor;en contra
